time,price,pchange,change,volume,amount,type
14:32:15,8.19,+1.11,0.0,40,32760,sell
14:31:57,8.19,+1.11,0.0,9,7371,sell
14:31:54,8.19,+1.11,0.0,56,45864,sell
14:31:39,8.19,+1.11,0.0,100,81900,sell
14:31:36,8.19,+1.11,0.0,50,40950,sell
14:31:24,8.19,+1.11,0.0,6,4914,sell
14:31:21,8.19,+1.11,0.0,8,6552,sell
14:31:18,8.19,+1.11,0.01,356,291564,buy
14:31:03,8.18,+0.99,0.0,1,818,sell
14:30:57,8.18,+0.99,0.0,50,40900,sell
14:30:39,8.18,+0.99,0.0,99,80982,sell
14:30:27,8.18,+0.99,0.0,15,12270,sell
14:29:57,8.18,+0.99,0.0,18,14724,norm
14:29:57,8.18,+0.99,-0.01,18,14724,sell
14:29:51,8.19,+1.11,0.0,30,24570,buy
14:29:48,8.19,+1.11,0.0,14,11466,buy
14:29:27,8.19,+1.11,0.0,4,3276,buy
14:29:12,8.19,+1.11,0.0,10,8190,buy
14:28:51,8.19,+1.11,0.0,4,3276,buy
14:28:48,8.19,+1.11,0.01,55,45045,buy
14:28:42,8.18,+0.99,0.0,65,53170,sell
14:28:24,8.18,+0.99,0.0,67,54806,sell
14:28:09,8.18,+0.99,0.0,5,4090,sell
14:28:06,8.18,+0.99,0.0,10,8180,sell
14:27:57,8.18,+0.99,-0.01,12,9816,sell
14:27:54,8.19,+1.11,0.0,37,30303,buy
14:27:45,8.19,+1.11,0.01,10,8190,buy
14:27:42,8.18,+0.99,0.0,15,12270,sell
14:27:39,8.18,+0.99,-0.01,6,4908,sell
14:27:36,8.19,+1.11,0.01,75,61425,buy
14:27:03,8.18,+0.99,0.0,6,4908,sell
14:27:00,8.18,+0.99,-0.01,50,40900,sell
14:26:48,8.19,+1.11,0.01,50,40950,buy
14:26:42,8.18,+0.99,0.0,3,2454,sell
14:26:39,8.18,+0.99,-0.01,70,57260,sell
14:26:36,8.19,+1.11,0.0,15,12285,buy
14:26:33,8.19,+1.11,0.01,7,5733,buy
14:26:24,8.18,+0.99,-0.01,12,9816,sell
14:26:18,8.19,+1.11,0.01,14,11466,buy
14:26:03,8.18,+0.99,-0.01,11,8998,sell
14:26:00,8.19,+1.11,0.01,10,8190,buy
14:25:57,8.18,+0.99,-0.01,9,7362,sell
14:25:54,8.19,+1.11,0.01,29,23751,buy
14:25:45,8.18,+0.99,-0.01,5,4090,sell
14:25:42,8.19,+1.11,0.0,107,87633,buy
14:25:21,8.19,+1.11,0.0,10,8190,buy
14:25:09,8.19,+1.11,0.0,2,1638,buy
14:25:03,8.19,+1.11,0.01,100,81900,buy
14:24:57,8.18,+0.99,-0.01,15,12270,sell
14:24:48,8.19,+1.11,0.0,5,4095,buy
14:24:42,8.19,+1.11,0.0,11,9009,buy
14:24:39,8.19,+1.11,0.01,54,44226,buy
14:24:24,8.18,+0.99,0.0,5,4090,sell
14:24:21,8.18,+0.99,-0.01,50,40900,sell
14:24:18,8.19,+1.11,0.01,102,83538,buy
14:24:03,8.18,+0.99,0.0,1,818,sell
14:23:57,8.18,+0.99,0.0,9,7362,sell
14:23:48,8.18,+0.99,0.0,14,11452,sell
14:23:36,8.18,+0.99,-0.01,5,4090,sell
14:23:33,8.19,+1.11,0.0,59,48321,buy
14:23:30,8.19,+1.11,0.01,20,16380,buy
14:23:24,8.18,+0.99,-0.01,11,8998,sell
14:23:21,8.19,+1.11,0.01,16,13104,buy
14:23:18,8.18,+0.99,-0.01,200,163600,sell
14:23:09,8.19,+1.11,0.0,10,8190,buy
14:22:27,8.19,+1.11,0.0,20,16380,norm
14:22:27,8.19,+1.11,0.0,20,16380,buy
14:22:18,8.19,+1.11,0.01,42,34398,buy
14:21:57,8.18,+0.99,-0.01,9,7362,norm
14:21:36,8.19,+1.11,0.0,10,8190,buy
14:21:33,8.19,+1.11,0.02,10,8190,buy
14:21:27,8.17,+0.86,0.0,2,1634,sell
14:21:24,8.17,+0.86,-0.02,9,7353,sell
14:21:18,8.19,+1.11,0.02,20,16380,buy
14:21:03,8.17,+0.86,-0.02,7,5719,sell
14:21:00,8.19,+1.11,0.01,300,245700,buy
14:20:57,8.18,+0.99,0.01,43,35174,buy
14:20:51,8.17,+0.86,0.0,30,24510,sell
14:20:45,8.17,+0.86,0.0,11,8987,sell
14:20:36,8.17,+0.86,-0.01,1,817,sell
14:20:24,8.18,+0.99,0.01,29,23722,buy
14:19:57,8.17,+0.86,-0.01,9,7353,sell
14:19:54,8.18,+0.99,0.0,3,2454,buy
14:19:51,8.18,+0.99,0.01,5,4090,buy
14:19:36,8.17,+0.86,0.0,15,12255,sell
14:19:27,8.17,+0.86,-0.01,51,41667,sell
