,time,stkVal,cash,dret,val,downLow,downHigh,downDay,downKMax
14,2011-01-24,224786.76843,795739.258782,-0.00016791961089652872,1020526.027212,1016779.8376150001,1023263.4187970001,7.0,-0.6336179973698677
15,2011-01-25,226747.72191199998,795739.258782,0.001921512464858165,1022486.980694,1016779.8376150001,1023263.4187970001,8.0,-0.6336179973698677
16,2011-01-26,229948.03162,795739.258782,0.0031299270977786678,1025687.2904020001,1025687.2904020001,1025687.2904020001,8.0,-0.6336179973698677
17,2011-01-27,233503.29161299998,795739.258782,0.0034662221383347106,1029242.550395,1029242.550395,1029242.550395,8.0,-0.6336179973698677
18,2011-01-28,232130.92589699998,795739.258782,-0.0013333744465512899,1027870.184679,1027870.184679,1029242.550395,8.0,-0.6336179973698677
19,2011-01-31,241143.277049,795739.258782,0.008767985769345513,1036882.5358310001,1036882.5358310001,1036882.5358310001,8.0,-0.6336179973698677
20,2011-02-01,276475.90461100003,795739.258782,0.03407582473523199,1072215.1633930001,1072215.1633930001,1072215.1633930001,8.0,-0.6336179973698677
21,2011-02-02,271798.31972699997,795739.258782,-0.0043625431197950055,1067537.5785090001,1067537.5785090001,1072215.1633930001,8.0,-0.6336179973698677
22,2011-02-03,269638.587742,795739.258782,-0.002023096918064842,1065377.8465240002,1065377.8465240002,1072215.1633930001,8.0,-0.6376814190319265
23,2011-02-04,269372.052211,795739.258782,-0.00025017934422970925,1065111.310993,1065111.310993,1072215.1633930001,8.0,-0.6625398187356566
24,2011-02-07,274751.65058400005,795739.258782,0.005050738188091029,1070490.909366,1065111.310993,1072215.1633930001,8.0,-0.6625398187356566
25,2011-02-08,273523.25711,795739.258782,-0.0011475048160171286,1069262.515892,1065111.310993,1072215.1633930001,8.0,-0.6625398187356566
26,2011-02-09,274147.828391,795739.258782,0.000584114070882781,1069887.087173,1065111.310993,1072215.1633930001,9.0,-0.6625398187356566
27,2011-02-10,285863.967532,795739.258782,0.01095081834472652,1081603.226314,1081603.226314,1081603.226314,9.0,-0.6625398187356566
28,2011-02-11,294715.880124,795739.258782,0.008184066371701352,1090455.1389060002,1090455.1389060002,1090455.1389060002,9.0,-0.6625398187356566
29,2011-02-14,296520.67291900003,795739.258782,0.0016550821126035124,1092259.931701,1092259.931701,1092259.931701,9.0,-0.6625398187356566
30,2011-02-15,292851.94772000005,795739.258782,-0.003358838947141999,1088591.206502,1088591.206502,1092259.931701,9.0,-0.6625398187356566
31,2011-02-16,298507.84577,795739.258782,0.005195612472540736,1094247.104552,1094247.104552,1094247.104552,9.0,-0.6625398187356566
32,2011-02-17,302046.667833,795739.258782,0.0032340246076765122,1097785.926615,1097785.926615,1097785.926615,9.0,-0.6625398187356566
33,2011-02-18,301564.199228,795739.258782,-0.00043949243044817405,1097303.4580100002,1097303.4580100002,1097785.926615,9.0,-0.6625398187356566
34,2011-02-22,290621.407828,795739.258782,-0.009972438635931339,1086360.6666100002,1086360.6666100002,1097785.926615,9.0,-1.0407548255085912
35,2011-02-23,285228.411309,795739.258782,-0.004964278148829865,1080967.670091,1080967.670091,1097785.926615,9.0,-1.5320160439530162
36,2011-02-24,282033.60027,795739.258782,-0.0029555102593686886,1077772.859052,1077772.859052,1097785.926615,9.0,-1.8230391807544644
37,2011-02-25,300668.809646,795739.258782,0.017290479361663683,1096408.068428,1077772.859052,1097785.926615,9.0,-1.8230391807544644
38,2011-02-28,310344.11150500004,795739.258782,0.008824544562931224,1106083.3702870002,1106083.3702870002,1106083.3702870002,9.0,-1.8230391807544644
39,2011-03-01,304197.856468,795739.258782,-0.005556773749708735,1099937.11525,1099937.11525,1106083.3702870002,9.0,-1.8230391807544644
40,2011-03-02,311062.613502,795739.258782,0.006241045000504186,1106801.872284,1106801.872284,1106801.872284,9.0,-1.8230391807544644
41,2011-03-03,312190.402476,795739.258782,0.0010189619318881338,1107929.661258,1107929.661258,1107929.661258,9.0,-1.8230391807544644
42,2011-03-04,311507.895089,795739.258782,-0.000616020502804257,1107247.153871,1107247.153871,1107929.661258,9.0,-1.8230391807544644
43,2011-03-07,301578.235049,795739.258782,-0.008967880391731261,1097317.493831,1097317.493831,1107929.661258,9.0,-1.8230391807544644
